Site,Year,Week,Org Code,Org Name,Mch Code,Criticality,Priority Id,Object Description,Wo No,Actual Reg Date,Actual Start Date,Actual Finish Date,Reaction Hours,Repair Hours,Downtime Hours,Err Cause,Err Cause Descr,Err Type,Err Type Descr,Performed Action Id,Performed Action Descr,Err Class,Err Class Descr,Work Type Category,Work Type Id,Work Type Descr,Wo Status Id
AEAD,2023,202301,MAINT,Maintenance,004-0227-00,2,2,STATIONARY MIXER,790615,01-04-22 07:57,02-01-23 09:00,02-01-23 10:00,6625,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,010-0104-00,2,1,POT WASHING UNIT FOR RECLAIMER,790556,01-04-22 07:57,02-01-23 08:00,02-01-23 10:00,6624,2,2,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0554-00,1,1,WISPERSOR 10 KL,790544,01-04-22 07:57,02-01-23 10:00,02-01-23 10:30,6626.1,1,0.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,015-0103-00,2,2,"11205 EMULSION  TANK,GRP,40K LTR",389226,02-01-23 07:16,02-01-23 07:16,02-01-23 10:30,0,5,3.2,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0229-00,2,2,PORTABLE MIXER,790616,01-04-22 07:57,02-01-23 10:00,02-01-23 11:00,6626,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,009-0240-00,0,2,DONALDSON POWDER BOOTH,790540,01-04-22 07:57,02-01-23 11:30,02-01-23 12:00,6627.6,0.5,0.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,010-0103-00,1,2,SOLVENT DISTILLATION UNIT,790541,01-04-22 07:57,02-01-23 12:00,02-01-23 12:51,6628.1,0.5,0.9,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0484-00,1,3,SPRAY BOOTH,383235,30-11-22 14:49,02-01-23 08:00,02-01-23 15:00,785.2,,7,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0126-00,2,2,FILLING STAND,389301,02-01-23 14:25,03-01-23 06:14,03-01-23 06:14,15.8,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,011-0000-00,3,2,CANTEEN [LOCATION],389300,02-01-23 14:23,03-01-23 08:00,03-01-23 08:00,17.6,1,0,C1,Run to Fail,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,011-0000-00,3,2,CANTEEN [LOCATION],389295,02-01-23 14:16,03-01-23 08:00,03-01-23 08:00,17.7,1,0,C1,Run to Fail,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0458-00,1,1,HYDRAULIC LIFT 2TON,790611,01-04-22 07:57,03-01-23 08:00,03-01-23 09:00,6648,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0221-00,2,1,"AGITATOR , VARIABLE SPEED",790582,01-04-22 07:57,03-01-23 08:00,03-01-23 09:00,6648,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0177-00,2,2,ADDTIVE STATION REXSON COLOUR WEIGH,790575,01-04-22 07:57,03-01-23 08:00,03-01-23 09:00,6648,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0109-00,3,2,AUTOMATIC SLIDING DOOR,790546,01-04-22 07:57,03-01-23 08:00,03-01-23 09:00,6648,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0125-00,1,1,AIR DRYER,790564,01-04-22 07:57,03-01-23 08:00,03-01-23 09:30,6648,2,1.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0222-00,1,1,"AGITATOR , VARIABLE SPEED",790583,01-04-22 07:57,03-01-23 09:00,03-01-23 10:00,6649,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0201-00,1,1,DISSOLVER,790577,01-04-22 07:57,03-01-23 09:00,03-01-23 10:00,6649,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0200-00,1,1,DISSOLVER,790576,01-04-22 07:57,03-01-23 09:00,03-01-23 10:00,6649,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0245-00,1,1,"WISPERSOR ,",790586,01-04-22 07:57,03-01-23 10:00,03-01-23 11:00,6650,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0202-00,1,1,DISSOLVER[FLOOR MOUNTED],790578,01-04-22 07:57,03-01-23 10:00,03-01-23 11:00,6650,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0005-00,0,2,TINTING FILLING-EARTHING CLAMPS,790565,01-04-22 07:57,03-01-23 08:00,03-01-23 11:00,6648,3,3,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0206-00,1,2,"AGITATOR , CONSTANT SPEED",790580,01-04-22 07:57,03-01-23 11:00,03-01-23 12:00,6651,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0008-00,1,2,RACK INSPECTION AND CERTIFICATION-YEARLY,790547,01-04-22 07:57,03-01-23 08:00,03-01-23 15:00,6648,6,7,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0201-00,1,2,DISSOLVER,389516,03-01-23 10:43,04-01-23 06:14,04-01-23 06:14,19.5,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,0,FACTORY [ LOCATION ],389772,04-01-23 08:00,04-01-23 08:00,04-01-23 08:00,0,1,0,C28,Ageing,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,0,FACTORY [ LOCATION ],389782,04-01-23 08:00,04-01-23 08:00,04-01-23 08:00,0,1,0,C28,Ageing,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],389717,04-01-23 06:07,04-01-23 08:00,04-01-23 08:00,1.9,7.5,0,C11,Modifications,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0200-00,1,2,DISSOLVER,388439,27-12-22 10:38,04-01-23 08:00,04-01-23 08:00,189.4,1.5,0,C28,Ageing,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,000-0000-00,3,2,SITE AREA EXTERNAL [LOCATION],386784,19-12-22 09:42,04-01-23 08:00,04-01-23 08:00,382.3,4.5,0,C11,Modifications,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0201-00,1,1,DISSOLVER,790588,01-04-22 07:57,04-01-23 08:00,04-01-23 09:00,6672,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0101-00,2,2,PORT-A-COOL M/C,790568,01-04-22 07:57,04-01-23 08:00,04-01-23 09:00,6672,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0102-00,2,2,PORT-A-COOL M/C,790569,01-04-22 07:57,04-01-23 08:00,04-01-23 09:00,6672,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0103-00,2,2,PORT-A-COOL M/C,790570,01-04-22 07:57,04-01-23 08:00,04-01-23 09:00,6672,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0490-00,1,2,SUPERFLOW BUHLER MILL [AGITATOR MILL],389784,04-01-23 08:00,04-01-23 08:00,04-01-23 09:34,0,2.5,1.6,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0565-00,2,2,HIGH PRESSURE CLEANING MACHINE,858532,04-01-23 09:00,04-01-23 09:00,04-01-23 10:00,0,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0100-00,2,1,WRAPPING MACHINE,389783,04-01-23 09:00,04-01-23 09:00,04-01-23 10:00,0,1.5,1,C1,Run to Fail,T1,Maintenance,P1,,CL7,Maintenance,Corrective Acute,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0175-00,2,2,INDUSTRIAL TRUCK PALLETIZE EQUIPMENT(EX),790617,01-04-22 07:57,04-01-23 10:00,04-01-23 11:00,6674,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,011-0000-00,3,2,CANTEEN [LOCATION],389298,02-01-23 14:18,05-01-23 06:17,05-01-23 06:18,64,1.5,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0462-00,1,2,"REACTOR, AGITATOR",389882,04-01-23 14:08,05-01-23 08:00,05-01-23 08:00,17.9,3,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0251-00,2,2,DRUM LIFTER,790555,01-04-22 07:57,05-01-23 08:00,05-01-23 08:00,6696,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,011-0101-00,0,1,"EXHAUST ROOF FAN, CANTEEN",790559,01-04-22 07:57,05-01-23 08:00,05-01-23 08:00,6696,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,011-0100-00,0,1,"EXHAUST ROOF FAN, CANTEEN",790558,01-04-22 07:57,05-01-23 08:00,05-01-23 08:00,6696,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0105-00,2,2,RUSSELL FILTER,790549,01-04-22 07:57,05-01-23 08:00,05-01-23 08:00,6696,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0221-00,2,2,"AGITATOR , VARIABLE SPEED",790620,01-04-22 07:57,05-01-23 08:00,05-01-23 09:00,6696,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0203-00,2,1,DISSOLVER[FLOOR MOUNTED],790579,01-04-22 07:57,05-01-23 08:00,05-01-23 09:00,6696,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0501-00,0,1,"ROOF FAN, FUME EXTRACTION",790622,01-04-22 07:57,05-01-23 09:00,05-01-23 10:00,6697,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0212-00,1,2,"AGITATOR , CONSTANT SPEED",790581,01-04-22 07:57,05-01-23 09:00,05-01-23 10:00,6697,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0004-00,0,2,FILLING PRODUCTION EARTHING CLAMPS,790571,01-04-22 07:57,05-01-23 08:00,05-01-23 10:00,6696,3,2,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0502-00,0,1,ROOF FAN,790623,01-04-22 07:57,05-01-23 10:00,05-01-23 11:00,6698,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0503-00,0,1,ROOF FAN,790624,01-04-22 07:57,05-01-23 11:00,05-01-23 12:00,6699,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0241-00,1,2,DISSOLVER,390370,05-01-23 12:00,05-01-23 12:00,05-01-23 12:30,0,2,0.5,C23,Condition based maintenanced,T1,Maintenance,P1,,CL7,Maintenance,Corrective Acute,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0116-00,2,2,DIAPHRAGM PUMP,390093,05-01-23 10:50,05-01-23 11:00,05-01-23 13:29,0.2,1,2.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,,FACTORY [ LOCATION ],380698,17-11-22 18:31,04-01-23 08:00,06-01-23 00:00,1141.5,,40,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0424-00,0,1,DUST  EXTRACTION  SYSTEM [ CHEMFLAKE],790596,01-04-22 07:57,06-01-23 08:00,06-01-23 08:00,6720,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0422-00,1,1,DISSOLVER 60HP [OLD],790595,01-04-22 07:57,06-01-23 08:00,06-01-23 08:00,6720,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0413-00,2,2,DIESEL FORKLIFT 45680,390094,05-01-23 10:51,06-01-23 08:00,06-01-23 08:30,21.1,1,0.5,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0225-00,1,1,SUPERMILL,790584,01-04-22 07:57,06-01-23 08:00,06-01-23 09:00,6720,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0238-00,1,2,"AGITATOR , VARIABLE  SPEED",790585,01-04-22 07:57,06-01-23 09:00,06-01-23 10:00,6721,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0318-00,1,1,DEVREE FILLING M/C,790572,01-04-22 07:57,06-01-23 11:00,06-01-23 12:00,6723,2,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,016-0000-00,3,2,TANK FARM AREA [LOCATION],390634,09-01-23 06:40,09-01-23 06:46,09-01-23 06:46,0.1,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,002-0000-00,3,2,ADMIN. BUILDING [LOCATION],390750,09-01-23 08:00,09-01-23 08:00,09-01-23 08:00,0,1,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,003-0000-00,3,,FINISHED GOODS STORE [ LOCATION],387834,17-12-22 06:16,02-01-23 08:00,09-01-23 08:00,385.7,5,168,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0447-00,1,2,PNEUMATIC  PUMP  AND  FILTERING  GROUP,790600,01-04-22 07:57,09-01-23 08:00,09-01-23 08:00,6792,2,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0504-00,0,1,ROOF FAN,790625,01-04-22 07:57,09-01-23 08:00,09-01-23 09:00,6792,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0225-00,1,1,SUPERMILL,790590,01-04-22 07:57,09-01-23 08:00,09-01-23 09:00,6792,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,010-0104-00,2,2,POT WASHING UNIT FOR RECLAIMER,388208,26-12-22 12:08,09-01-23 08:52,09-01-23 09:52,332.7,2.5,1,C12,Timebased Maintenance,,,P3,,,,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0507-00,0,1,ROOF FAN,790628,01-04-22 07:57,09-01-23 09:00,09-01-23 10:00,6793,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,010-0105-02,2,2,"AMMONIA TRANSFER DIAPHRAGM PUMP 2"" DIA",790632,01-04-22 07:57,09-01-23 09:00,09-01-23 10:00,6793,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0505-00,0,1,ROOF FAN,790626,01-04-22 07:57,09-01-23 10:00,09-01-23 11:00,6794,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0506-00,0,1,ROOF FAN,790627,01-04-22 07:57,09-01-23 11:00,09-01-23 12:00,6795,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0002-00,0,2,PRODUCTION- EARTHING CLAMPS,790550,01-04-22 07:57,09-01-23 08:00,09-01-23 12:00,6792,4,4,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0201-00,1,2,DISSOLVER,390828,09-01-23 14:43,09-01-23 15:00,09-01-23 15:30,0.3,0.5,0.5,C23,Condition based maintenanced,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0003-00,0,2,TINTING- EARTHING CLAMPS,790551,01-04-22 07:57,09-01-23 12:30,09-01-23 15:39,6796.6,4,3.1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,000-0000-00,3,2,SITE AREA EXTERNAL [LOCATION],391301,10-01-23 08:00,10-01-23 08:00,10-01-23 08:00,0,3,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202302,MAINT,Maintenance,004-0425-00,0,1,DUST  EXTRACTION  SYSTEM [ PRODUCTION ],790597,01-04-22 07:57,10-01-23 08:00,10-01-23 08:00,6816,1,0,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
